timestamp,total_memory_mb,available_memory_mb,used_memory_mb,percent_memory
2024-06-22 10:33:55,5853.62,1844.69,3645.14,68.50
2024-06-22 10:34:00,5853.62,1815.85,3659.36,69.00
2024-06-22 10:34:05,5853.62,1811.90,3663.52,69.00
2024-06-22 10:34:10,5853.62,1809.25,3668.02,69.10
2024-06-22 10:34:15,5853.62,1800.01,3679.25,69.20
2024-06-22 10:34:20,5853.62,1792.88,3684.54,69.40
2024-06-22 10:34:25,5853.62,1782.89,3694.51,69.50
2024-06-22 10:34:30,5853.62,1817.43,3660.19,69.00
2024-06-22 10:34:35,5853.62,1806.50,3673.00,69.10
2024-06-22 10:34:40,5853.62,1799.11,3680.52,69.30
2024-06-22 10:34:45,5853.62,1791.16,3686.45,69.40
2024-06-22 10:34:50,5853.62,1813.83,3663.78,69.00
2024-06-22 10:34:55,5853.62,1813.60,3665.26,69.00
2024-06-22 10:35:00,5853.62,1811.08,3667.78,69.10
2024-06-22 10:35:05,5853.62,1805.58,3673.28,69.20
2024-06-22 10:35:10,5853.62,1804.95,3673.91,69.20
2024-06-22 10:35:15,5853.62,1801.97,3676.91,69.20
2024-06-22 10:35:20,5853.62,1885.66,3617.27,67.80
2024-06-22 10:35:25,5853.62,1888.02,3614.80,67.70
2024-06-22 10:35:30,5853.62,1836.05,3635.01,68.60
2024-06-22 10:35:35,5853.62,1825.84,3659.94,68.80
2024-06-22 10:35:40,5853.62,1820.69,3665.01,68.90
2024-06-22 10:35:45,5853.62,1813.53,3670.20,69.00
2024-06-22 10:35:50,5853.62,1869.23,3629.48,68.10
2024-06-22 10:35:55,5853.62,1862.25,3636.47,68.20
2024-06-22 10:36:00,5853.62,1881.35,3617.50,67.90
2024-06-22 10:36:05,5853.62,1881.71,3616.99,67.90
2024-06-22 10:36:10,5853.62,1880.05,3618.67,67.90
2024-06-22 10:36:15,5853.62,1887.96,3610.62,67.70
2024-06-22 10:36:20,5853.62,1884.22,3614.30,67.80
2024-06-22 10:36:25,5853.62,1902.27,3596.09,67.50
2024-06-22 10:36:30,5853.62,1887.53,3610.83,67.80
2024-06-22 10:36:35,5853.62,1881.95,3616.41,67.80
2024-06-22 10:36:40,5853.62,1879.97,3620.38,67.90
2024-06-22 10:36:45,5853.62,1876.57,3623.77,67.90
2024-06-22 10:36:50,5853.62,1872.95,3625.41,68.00
2024-06-22 10:36:55,5853.62,1868.83,3629.52,68.10
2024-06-22 10:37:00,5853.62,1869.70,3628.45,68.10
2024-06-22 10:37:05,5853.62,1882.76,3615.20,67.80
2024-06-22 10:37:10,5853.62,1888.60,3609.28,67.70
2024-06-22 10:37:15,5853.62,1906.12,3591.76,67.40
2024-06-22 10:37:20,5853.62,1896.28,3601.60,67.60
2024-06-22 10:37:25,5853.62,1903.50,3594.20,67.50
2024-06-22 10:37:30,5853.62,1895.71,3602.00,67.60
2024-06-22 10:37:35,5853.62,1890.46,3607.25,67.70
2024-06-22 10:37:40,5853.62,1900.62,3597.00,67.50
2024-06-22 10:37:45,5853.62,1897.28,3602.32,67.60
2024-06-22 10:37:50,5853.62,1896.91,3600.71,67.60
2024-06-22 10:37:55,5853.62,1897.96,3599.48,67.60
2024-06-22 10:38:00,5853.62,1898.12,3604.38,67.60
2024-06-22 10:38:05,5853.62,1837.82,3642.25,68.60
2024-06-22 10:38:10,5853.62,1826.92,3650.13,68.80
2024-06-22 10:38:15,5853.62,1869.60,3633.27,68.10
2024-06-22 10:38:20,5853.62,1868.04,3632.95,68.10
2024-06-22 10:38:25,5853.62,1861.23,3639.76,68.20
2024-06-22 10:38:30,5853.62,1856.22,3644.77,68.30
2024-06-22 10:38:35,5853.62,1850.58,3650.41,68.40
2024-06-22 10:38:40,5853.62,1861.12,3639.87,68.20
2024-06-22 10:38:45,5853.62,1857.91,3643.19,68.30
2024-06-22 10:38:50,5853.62,1854.23,3646.77,68.30
2024-06-22 10:38:55,5853.62,1852.79,3648.20,68.30
2024-06-22 10:39:00,5853.62,1842.28,3658.71,68.50
2024-06-22 10:39:05,5853.62,1841.15,3659.84,68.50
2024-06-22 10:39:10,5853.62,1839.41,3661.55,68.60
2024-06-22 10:39:15,5853.62,1971.32,3529.32,66.30
2024-06-22 10:39:20,5853.62,1970.59,3530.05,66.30
2024-06-22 10:39:25,5853.62,1968.43,3532.21,66.40
2024-06-22 10:39:30,5853.62,1959.12,3541.39,66.50
2024-06-22 10:39:35,5853.62,1962.04,3538.15,66.50
2024-06-22 10:39:40,5853.62,1866.66,3609.69,68.10
2024-06-22 10:39:45,5853.62,1849.02,3627.32,68.40
2024-06-22 10:39:50,5853.62,1866.40,3609.95,68.10
2024-06-22 10:39:55,5853.62,1859.52,3616.84,68.20
2024-06-22 10:40:00,5853.62,1854.82,3621.54,68.30
2024-06-22 10:40:05,5853.62,1841.89,3634.45,68.50
2024-06-22 10:40:10,5853.62,1849.49,3626.94,68.40
2024-06-22 10:40:15,5853.62,1861.08,3615.27,68.20
2024-06-22 10:40:20,5853.62,1842.51,3629.26,68.50
2024-06-22 10:40:25,5853.62,1844.93,3626.77,68.50
2024-06-22 10:40:30,5853.62,1839.09,3640.19,68.60
2024-06-22 10:40:35,5853.62,1830.37,3663.77,68.70
2024-06-22 10:40:40,5853.62,1874.82,3604.53,68.00
2024-06-22 10:40:45,5853.62,1888.21,3604.00,67.70
2024-06-22 10:40:50,5853.62,1901.34,3576.03,67.50
2024-06-22 10:40:55,5853.62,1975.91,3516.28,66.20
2024-06-22 10:41:00,5853.62,1973.91,3518.26,66.30
2024-06-22 10:41:05,5853.62,1966.46,3525.73,66.40
2024-06-22 10:41:10,5853.62,1959.51,3532.67,66.50
2024-06-22 10:41:15,5853.62,1957.22,3536.94,66.60
2024-06-22 10:41:20,5853.62,1944.58,3547.61,66.80
2024-06-22 10:41:25,5853.62,1946.27,3545.84,66.80
2024-06-22 10:41:30,5853.62,1970.22,3521.59,66.30
2024-06-22 10:41:35,5853.62,1964.45,3527.36,66.40
2024-06-22 10:41:40,5853.62,1949.19,3544.61,66.70
2024-06-22 10:41:45,5853.62,1941.79,3550.02,66.80
2024-06-22 10:41:50,5853.62,1940.91,3552.89,66.80
2024-06-22 10:41:55,5853.62,1937.25,3554.55,66.90
2024-06-22 10:42:00,5853.62,1934.62,3557.08,67.00
2024-06-22 10:42:05,5853.62,1936.60,3556.16,66.90
2024-06-22 10:42:10,5853.62,1934.36,3558.21,67.00
2024-06-22 10:42:15,5853.62,1930.60,3563.96,67.00
2024-06-22 10:42:20,5853.62,1941.35,3551.13,66.80
2024-06-22 10:42:25,5853.62,1937.96,3554.52,66.90
2024-06-22 10:42:30,5853.62,1935.87,3556.54,66.90
2024-06-22 10:42:35,5853.62,1934.09,3558.30,67.00
2024-06-22 10:42:40,5853.62,1929.77,3562.53,67.00
2024-06-22 10:42:45,5853.62,1930.03,3562.19,67.00
2024-06-22 10:42:50,5853.62,1933.62,3560.46,67.00
2024-06-22 10:42:55,5853.62,1933.87,3558.31,67.00
2024-06-22 10:43:00,5853.62,1938.27,3553.90,66.90
2024-06-22 10:43:05,5853.62,1941.77,3550.35,66.80
2024-06-22 10:43:10,5853.62,1939.66,3552.43,66.90
2024-06-22 10:43:15,5853.62,1947.84,3544.18,66.70
2024-06-22 10:43:20,5853.62,1953.29,3538.74,66.60
2024-06-22 10:43:25,5853.62,1927.00,3565.03,67.10
2024-06-22 10:43:30,5853.62,1923.88,3568.14,67.10
2024-06-22 10:43:35,5853.62,1940.17,3551.86,66.90
2024-06-22 10:43:40,5853.62,1938.67,3553.34,66.90
2024-06-22 10:43:45,5853.62,1878.48,3601.00,67.90
2024-06-22 10:43:50,5853.62,1876.04,3601.28,68.00
2024-06-22 10:43:55,5853.62,1865.44,3613.78,68.10
2024-06-22 10:44:00,5853.62,1842.93,3631.41,68.50
2024-06-22 10:44:05,5853.62,1836.98,3637.27,68.60
2024-06-22 10:44:10,5853.62,1832.26,3641.96,68.70
